,Title,Director,Year
642,The Ridiculous 6,Frank Coraci,2015
643,Frantz,François Ozon,2016
644,Viral,Henry Joost,2016
645,Gran Torino,Clint Eastwood,2008
646,Burnt,John Wells,2015
647,Tall Men,Jonathan Holbrook,2016
648,Sleeping Beauty,Julia Leigh,2011
649,Vampire Academy,Mark Waters,2014
650,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,2007
651,Solace,Afonso Poyart,2015
652,Insidious,James Wan,2010
653,Popstar: Never Stop Never Stopping,Akiva Schaffer,2016
654,The Levelling,Hope Dickson Leach,2016
655,Public Enemies,Michael Mann,2009
656,Boyhood,Richard Linklater,2014
657,Teenage Mutant Ninja Turtles,Jonathan Liebesman,2014
658,Eastern Promises,David Cronenberg,2007
659,The Daughter,Simon Stone,2015
660,Pineapple Express,David Gordon Green,2008
661,The First Time,Jon Kasdan,2012
662,Gone Baby Gone,Ben Affleck,2007
663,The Heat,Paul Feig,2013
664,L'avenir,Mia Hansen-Løve,2016
665,Anna Karenina,Joe Wright,2012
666,Regression,Alejandro Amenábar,2015
667,Ted 2,Seth MacFarlane,2015
668,Pain & Gain,Michael Bay,2013
669,Blood Diamond,Edward Zwick,2006
670,Devil's Knot,Atom Egoyan,2013
671,Child 44,Daniel Espinosa,2015
672,The Hurt Locker,Kathryn Bigelow,2008
673,Green Lantern,Martin Campbell,2011
674,War on Everyone,John Michael McDonagh,2016
675,The Mist,Frank Darabont,2007
676,Escape Plan,Mikael Håfström,2013
677,"Love, Rosie",Christian Ditter,2014
678,The DUFF,Ari Sandel,2015
679,The Age of Shadows,Jee-woon Kim,2016
680,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,2014
681,We Need to Talk About Kevin,Lynne Ramsay,2011
682,Love & Friendship,Whit Stillman,2016
683,The Mortal Instruments: City of Bones,Harald Zwart,2013
684,Seven Pounds,Gabriele Muccino,2008
685,The King's Speech,Tom Hooper,2010
686,Hunger,Steve McQueen,2008
687,Jumper,Doug Liman,2008
688,Toy Story 3,Lee Unkrich,2010
689,Tinker Tailor Soldier Spy,Tomas Alfredson,2011
690,Resident Evil: Retribution,Paul W.S. Anderson,2012
691,Dear Zindagi,Gauri Shinde,2016
692,Genius,Michael Grandage,2016
693,Pompeii,Paul W.S. Anderson,2014
694,Life of Pi,Ang Lee,2012
695,Hachi: A Dog's Tale,Lasse Hallström,2009
696,10 Years,Jamie Linden,2011
697,I Origins,Mike Cahill,2014
698,Live Free or Die Hard,Len Wiseman,2007
699,The Matchbreaker,Caleb Vetter,2016
700,Funny Games,Michael Haneke,2007
701,Ted,Seth MacFarlane,2012
702,RED,Robert Schwentke,2010
703,Australia,Baz Luhrmann,2008
704,Faster,George Tillman Jr.,2010
705,The Neighbor,Marcus Dunstan,2016
706,The Adjustment Bureau,George Nolfi,2011
707,The Hollars,John Krasinski,2016
708,The Judge,David Dobkin,2014
709,Closed Circuit,John Crowley,2013
710,Transformers: Revenge of the Fallen,Michael Bay,2009
711,La tortue rouge,Michael Dudok de Wit,2016
712,The Book of Life,Jorge R. Gutiérrez,2014
713,Incendies,Denis Villeneuve,2010
714,The Heartbreak Kid,Bobby Farrelly,2007
715,Happy Feet,George Miller,2006
716,Entourage,Doug Ellin,2015
717,The Strangers,Bryan Bertino,2008
718,Noah,Darren Aronofsky,2014
719,Neighbors,Nicholas Stoller,2014
720,Nymphomaniac: Vol. II,Lars von Trier,2013
721,Wild,Jean-Marc Vallée,2014
722,Grown Ups,Dennis Dugan,2010
723,Blair Witch,Adam Wingard,2016
724,The Karate Kid,Harald Zwart,2010
725,Dark Shadows,Tim Burton,2012
726,Friends with Benefits,Will Gluck,2011
727,The Illusionist,Neil Burger,2006
728,The A-Team,Joe Carnahan,2010
729,The Guest,Adam Wingard,2014
730,The Internship,Shawn Levy,2013
731,Paul,Greg Mottola,2011
732,This Beautiful Fantastic,Simon Aboud,2016
733,The Da Vinci Code,Ron Howard,2006
734,Mr. Church,Bruce Beresford,2016
735,Hugo,Martin Scorsese,2011
736,The Blackcoat's Daughter,Oz Perkins,2015
737,Body of Lies,Ridley Scott,2008
738,Knight of Cups,Terrence Malick,2015
739,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,2008
740,The Boss,Ben Falcone,2016
741,Hands of Stone,Jonathan Jakubowicz,2016
742,El secreto de sus ojos,Juan José Campanella,2009
743,True Grit,Ethan Coen,2010
744,We Are Your Friends,Max Joseph,2015
745,A Million Ways to Die in the West,Seth MacFarlane,2014
746,Only for One Night,Chris Stokes,2016
747,Rules Don't Apply,Warren Beatty,2016
748,Ouija: Origin of Evil,Mike Flanagan,2016
749,Percy Jackson: Sea of Monsters,Thor Freudenthal,2013
750,Fracture,Gregory Hoblit,2007
751,Oculus,Mike Flanagan,2013
752,In Bruges,Martin McDonagh,2008
753,This Means War,McG,2012
754,the devil's mistress,Filip Renc,2016
755,The Road,John Hillcoat,2009
756,Lavender,Ed Gass-Donnelly,2016
757,Deuces,Jamal Hill,2016
758,Conan the Barbarian,Marcus Nispel,2011
759,The Fighter,David O. Russell,2010
760,August Rush,Kirsten Sheridan,2007
761,Chef,Jon Favreau,2014
762,Eye in the Sky,Gavin Hood,2015
763,Eagle Eye,D.J. Caruso,2008
764,The Purge,James DeMonaco,2013
765,PK,Rajkumar Hirani,2014
766,Ender's Game,Gavin Hood,2013
767,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,2008
768,Paper Towns,Jake Schreier,2015
769,High-Rise,Ben Wheatley,2015
770,Quantum of Solace,Marc Forster,2008
771,The Assignment,Walter Hill,2016
772,How to Train Your Dragon,Dean DeBlois,2010
773,Lady in the Water,M. Night Shyamalan,2006
774,The Fountain,Darren Aronofsky,2006
775,Cars 2,John Lasseter,2011
776,31,Rob Zombie,2016
777,Final Girl,Tyler Shields,2015
778,Chalk It Up,Hisonni Johnson,2016
779,The Man Who Knew Infinity,Matt Brown,2015
780,Unknown,Jaume Collet-Serra,2011
781,Self/less,Tarsem Singh,2015
782,Mr. Brooks,Bruce A. Evans,2007
783,Tramps,Adam Leon,2016
784,Before We Go,Chris Evans,2014
785,Captain Phillips,Paul Greengrass,2013
786,The Secret Scripture,Jim Sheridan,2016
787,Max Steel,Stewart Hendler,2016
788,Hotel Transylvania 2,Genndy Tartakovsky,2015
789,Hancock,Peter Berg,2008
790,Sisters,Jason Moore,2015
791,The Family,Luc Besson,2013
792,Zack and Miri Make a Porno,Kevin Smith,2008
793,Ma vie de Courgette,Claude Barras,2016
794,Man on a Ledge,Asger Leth,2012
795,No Strings Attached,Ivan Reitman,2011
796,Rescue Dawn,Werner Herzog,2006
797,Despicable Me 2,Pierre Coffin,2013
798,A Walk Among the Tombstones,Scott Frank,2014
799,The World's End,Edgar Wright,2013
800,Yoga Hosers,Kevin Smith,2016
801,Seven Psychopaths,Martin McDonagh,2012
802,Beowulf,Robert Zemeckis,2007
803,Jack Ryan: Shadow Recruit,Kenneth Branagh,2014
804,1408,Mikael Håfström,2007
805,The Gambler,Rupert Wyatt,2014
806,Prince of Persia: The Sands of Time,Mike Newell,2010
807,The Spectacular Now,James Ponsoldt,2013
808,A United Kingdom,Amma Asante,2016
809,USS Indianapolis: Men of Courage,Mario Van Peebles,2016
810,Turbo Kid,François Simard,2015
811,Mama,Andrés Muschietti,2013
812,Orphan,Jaume Collet-Serra,2009
813,To Rome with Love,Woody Allen,2012
814,Fantastic Mr. Fox,Wes Anderson,2009
815,Inside Man,Spike Lee,2006
816,I.T.,John Moore,2016
817,127 Hours,Danny Boyle,2010
818,Annabelle,John R. Leonetti,2014
819,Wolves at the Door,John R. Leonetti,2016
820,suite francaise,Saul Dibb,2014
821,The Imaginarium of Doctor Parnassus,Terry Gilliam,2009
822,G.I. Joe: The Rise of Cobra,Stephen Sommers,2009
823,Christine,Antonio Campos,2016
824,Man Down,Dito Montiel,2015
825,Crawlspace,Phil Claydon,2016
826,Shut In,Farren Blackburn,2016
827,The Warriors Gate,Matthias Hoene,2016
828,Grindhouse,Robert Rodriguez,2007
829,Disaster Movie,Jason Friedberg,2008
830,Rocky Balboa,Sylvester Stallone,2006
831,Diary of a Wimpy Kid: Dog Days,David Bowers,2012
832,Jane Eyre,Cary Joji Fukunaga,2011
833,Fool's Gold,Andy Tennant,2008
834,The Dictator,Larry Charles,2012
835,The Loft,Erik Van Looy,2014
836,Bacalaureat,Cristian Mungiu,2016
837,You Don't Mess with the Zohan,Dennis Dugan,2008
838,Exposed,Gee Malik Linton,2016
839,Maudie,Aisling Walsh,2016
840,Horrible Bosses 2,Sean Anders,2014
841,A Bigger Splash,Luca Guadagnino,2015
842,Melancholia,Lars von Trier,2011
843,The Princess and the Frog,Ron Clements,2009
844,Unstoppable,Tony Scott,2010
845,Flight,Robert Zemeckis,2012
846,Home,Tim Johnson,2015
847,La migliore offerta,Giuseppe Tornatore,2013
848,Mean Dreams,Nathan Morlando,2016
849,42,Brian Helgeland,2013
850,21,Robert Luketic,2008
851,Begin Again,John Carney,2013
852,Out of the Furnace,Scott Cooper,2013
853,Vicky Cristina Barcelona,Woody Allen,2008
854,Kung Fu Panda,Mark Osborne,2008
855,Barbershop: The Next Cut,Malcolm D. Lee,2016
856,Terminator Salvation,McG,2009
857,Freedom Writers,Richard LaGravenese,2007
858,The Hills Have Eyes,Alexandre Aja,2006
859,Changeling,Clint Eastwood,2008
860,Remember Me,Allen Coulter,2010
861,Koe no katachi,Naoko Yamada,2016
862,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,2014
863,Locke,Steven Knight,2013
864,The 9th Life of Louis Drax,Alexandre Aja,2016
865,Horns,Alexandre Aja,2013
866,Indignation,James Schamus,2016
867,The Stanford Prison Experiment,Kyle Patrick Alvarez,2015
868,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,2011
869,Mission: Impossible III,J.J. Abrams,2006
870,En man som heter Ove,Hannes Holm,2015
871,Dragonball Evolution,James Wong,2009
872,Red Dawn,Dan Bradley,2012
873,One Day,Lone Scherfig,2011
874,Life as We Know It,Greg Berlanti,2010
875,28 Weeks Later,Juan Carlos Fresnadillo,2007
876,Warm Bodies,Jonathan Levine,2013
877,Blue Jasmine,Woody Allen,2013
878,G.I. Joe: Retaliation,Jon M. Chu,2013
879,Wrath of the Titans,Jonathan Liebesman,2012
880,Shin Gojira,Hideaki Anno,2016
881,Saving Mr. Banks,John Lee Hancock,2013
882,Transcendence,Wally Pfister,2014
883,Rio,Carlos Saldanha,2011
884,Equals,Drake Doremus,2015
885,Babel,Alejandro González Iñárritu,2006
886,The Tree of Life,Terrence Malick,2011
887,The Lucky One,Scott Hicks,2012
888,Piranha 3D,Alexandre Aja,2010
889,50/50,Jonathan Levine,2011
890,The Intent,Femi Oyeniran,2016
891,This Is 40,Judd Apatow,2012
892,Real Steel,Shawn Levy,2011
893,Sex and the City,Michael Patrick King,2008
894,Rambo,Sylvester Stallone,2008
895,Planet Terror,Robert Rodriguez,2007
896,Concussion,Peter Landesman,2015
897,The Fall,Tarsem Singh,2006
898,The Ugly Truth,Robert Luketic,2009
899,Bride Wars,Gary Winick,2009
900,Sleeping with Other People,Leslye Headland,2015
901,Snakes on a Plane,David R. Ellis,2006
902,What If,Michael Dowse,2013
903,How to Train Your Dragon 2,Dean DeBlois,2014
904,RoboCop,José Padilha,2014
905,In Dubious Battle,James Franco,2016
906,"Hello, My Name Is Doris",Michael Showalter,2015
907,Ocean's Thirteen,Steven Soderbergh,2007
908,Slither,James Gunn,2006
909,Contagion,Steven Soderbergh,2011
910,Il racconto dei racconti - Tale of Tales,Matteo Garrone,2015
911,I Am the Pretty Thing That Lives in the House,Oz Perkins,2016
912,Bridge to Terabithia,Gabor Csupo,2007
913,Coherence,James Ward Byrkit,2013
914,Notorious,George Tillman Jr.,2009
915,Goksung,Hong-jin Na,2016
916,The Expendables 2,Simon West,2012
917,The Girl Next Door,Gregory Wilson,2007
918,Perfume: The Story of a Murderer,Tom Tykwer,2006
919,The Golden Compass,Chris Weitz,2007
920,Centurion,Neil Marshall,2010
921,Scouts Guide to the Zombie Apocalypse,Christopher Landon,2015
922,17 Again,Burr Steers,2009
923,No Escape,John Erick Dowdle,2015
924,Superman Returns,Bryan Singer,2006
925,The Twilight Saga: Breaking Dawn - Part 1,Bill Condon,2011
926,Precious,Lee Daniels,2009
927,The Sea of Trees,Gus Van Sant,2015
928,Good Kids,Chris McCoy,2016
929,The Master,Paul Thomas Anderson,2012
930,Footloose,Craig Brewer,2011
931,If I Stay,R.J. Cutler,2014
932,The Ticket,Ido Fluk,2016
933,Detour,Christopher Smith,2016
934,The Love Witch,Anna Biller,2016
935,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006
936,The Human Centipede (First Sequence),Tom Six,2009
937,Super,James Gunn,2010
938,The Siege of Jadotville,Richie Smyth,2016
939,Up in the Air,Jason Reitman,2009
940,The Midnight Meat Train,Ryûhei Kitamura,2008
941,The Twilight Saga: Eclipse,David Slade,2010
942,Transpecos,Greg Kwedar,2016
943,What's Your Number?,Mark Mylod,2011
944,Riddick,David Twohy,2013
945,Triangle,Christopher Smith,2009
946,The Butler,Lee Daniels,2013
947,King Cobra,Justin Kelly,2016
948,After Earth,M. Night Shyamalan,2013
949,Kicks,Justin Tipping,2016
950,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,2015
951,The Descendants,Alexander Payne,2011
952,Sex and the City 2,Michael Patrick King,2010
953,The Kings of Summer,Jordan Vogt-Roberts,2013
954,Death Race,Paul W.S. Anderson,2008
955,That Awkward Moment,Tom Gormican,2014
956,Legion,Scott Stewart,2010
957,End of Watch,David Ayer,2012
958,3 Days to Kill,McG,2014
959,Lucky Number Slevin,Paul McGuigan,2006
960,Trance,Danny Boyle,2013
961,Into the Forest,Patricia Rozema,2015
962,The Other Boleyn Girl,Justin Chadwick,2008
963,I Spit on Your Grave,Steven R. Monroe,2010
964,Custody,James Lapine,2016
965,Inland Empire,David Lynch,2006
966,The Odyssey,Jérôme Salle,2016
967,The Walk,Robert Zemeckis,2015
968,Wrecker,Micheal Bafaro,2015
969,The Lone Ranger,Gore Verbinski,2013
970,Texas Chainsaw 3D,John Luessenhop,2013
971,Disturbia,D.J. Caruso,2007
972,Rock of Ages,Adam Shankman,2012
973,Scream 4,Wes Craven,2011
974,Queen of Katwe,Mira Nair,2016
975,My Big Fat Greek Wedding 2,Kirk Jones,2016
976,Dark Places,Gilles Paquet-Brenner,2015
977,Amateur Night,Lisa Addario,2016
978,It's Only the End of the World,Xavier Dolan,2016
979,The Skin I Live In,Pedro Almodóvar,2011
980,Miracles from Heaven,Patricia Riggen,2016
981,Annie,Will Gluck,2014
982,Across the Universe,Julie Taymor,2007
983,Let's Be Cops,Luke Greenfield,2014
984,Max,Boaz Yakin,2015
985,Your Highness,David Gordon Green,2011
986,Final Destination 5,Steven Quale,2011
987,Endless Love,Shana Feste,2014
988,Martyrs,Pascal Laugier,2008
989,Selma,Ava DuVernay,2014
990,Underworld: Rise of the Lycans,Patrick Tatopoulos,2009
991,Taare Zameen Par,Aamir Khan,2007
992,Take Me Home Tonight,Michael Dowse,2011
993,Resident Evil: Afterlife,Paul W.S. Anderson,2010
994,Project X,Nima Nourizadeh,2012
995,Secret in Their Eyes,Billy Ray,2015
996,Hostel: Part II,Eli Roth,2007
997,Step Up 2: The Streets,Jon M. Chu,2008
998,Search Party,Scot Armstrong,2014
999,Nine Lives,Barry Sonnenfeld,2016
